Samples,204252_at,211803_at,211804_s_at
GSM902469,352.1606,19.63366,69.69256999999999
GSM902470,264.3435,61.55706,285.6514
GSM902471,1071.2060000000001,7.558997,236.2218
GSM902472,842.1842,72.07096999999999,96.22558000000001
GSM902473,1318.057,9.250781,306.6716
GSM902474,678.6893,9.944563,221.2492
GSM902475,572.1198,106.7993,222.763
GSM902476,495.5476,81.36543,59.027840000000005
GSM902477,334.4926,28.14247,28.62006
GSM902478,498.9567,66.77779,99.00954
GSM902479,496.915,40.73825,38.53342
GSM902480,501.2696,62.44583000000001,118.4189
GSM902481,634.6498,6.929978,116.2509
GSM902482,469.2734,107.5185,423.9461
GSM902483,342.4045,8.381065,231.5451
GSM902484,985.7971,25.53464,117.0334
GSM902485,555.0915,47.89257,109.9375
GSM902486,801.7852,14.881210000000001,200.4326
GSM902487,862.5266,4.557604,313.6523
GSM902488,504.6034,34.479729999999996,245.93
GSM902489,418.5317,126.0353,639.614
GSM902490,624.7130000000001,16.56665,71.5965
GSM902491,679.0333,197.6068,361.3435
GSM902492,622.8003,19.937910000000002,408.1456
GSM902493,921.091,59.05583000000001,228.0298
GSM902494,731.3851,239.5509,312.3247
GSM902495,440.5047,142.8777,179.9337
GSM902496,342.2818,13.376970000000002,188.2471
GSM902497,405.4713,8.101262,208.28
GSM902498,164.2205,21.85088,51.21573
GSM902499,538.2546,121.4091,273.6074
GSM902500,413.9895,9.145895,199.1638
GSM902501,188.9196,13.765270000000001,63.47934
GSM902502,361.5456,97.30091,104.0247
GSM902503,424.2035,21.94332,142.4266
GSM902504,369.4075,35.43184,260.1924
GSM902505,418.6017,73.16414,36.73115
GSM902506,766.4352,100.772,309.5061
GSM902507,333.7803,9.569747999999999,36.86984
GSM902508,168.6097,81.87695,179.6002
GSM902509,507.4128,113.0467,254.8667
GSM902510,333.7499,43.538270000000004,161.5439
